estado;data;obitos
Roraima;2016/09/01;142
Santa Catarina;2016/09/01;3028
Sergipe;2016/09/01;988
São Paulo;2016/09/01;24847
Tocantins;2016/09/01;374
Acre;2016/10/01;247
Alagoas;2016/10/01;1014
Amapá;2016/10/01;138
Amazonas;2016/10/01;526
Bahia;2016/10/01;4569
Ceará;2016/10/01;2494
Distrito Federal;2016/10/01;1228
Espírito Santo;2016/10/01;1891
Goiás;2016/10/01;2350
Maranhão;2016/10/01;556
Mato Grosso;2016/10/01;1375
Mato Grosso do Sul;2016/10/01;1265
Minas Gerais;2016/10/01;10895
Paraná;2016/10/01;6258
Paraíba;2016/10/01;1801
Pará;2016/10/01;481
Pernambuco;2016/10/01;4697
Piauí;2016/10/01;720
Rio Grande do Norte;2016/10/01;661
Rio Grande do Sul;2016/10/01;5121
Rio de Janeiro;2016/10/01;4870
Rondônia;2016/10/01;407
Roraima;2016/10/01;137
Santa Catarina;2016/10/01;2974
Sergipe;2016/10/01;1129
São Paulo;2016/10/01;23888
Tocantins;2016/10/01;351
Acre;2016/11/01;200
Alagoas;2016/11/01;874
Amapá;2016/11/01;178
Amazonas;2016/11/01;430
Bahia;2016/11/01;4544
Ceará;2016/11/01;2553
Distrito Federal;2016/11/01;1070
Espírito Santo;2016/11/01;1935
Goiás;2016/11/01;2411
Maranhão;2016/11/01;591
Mato Grosso;2016/11/01;1317
Mato Grosso do Sul;2016/11/01;1200
Minas Gerais;2016/11/01;10320
Paraná;2016/11/01;5860
Paraíba;2016/11/01;1699
Pará;2016/11/01;546
Pernambuco;2016/11/01;4242
Piauí;2016/11/01;676
Rio Grande do Norte;2016/11/01;904
Rio Grande do Sul;2016/11/01;4786
Rio de Janeiro;2016/11/01;4130
Rondônia;2016/11/01;681
Roraima;2016/11/01;151
Santa Catarina;2016/11/01;2817
Sergipe;2016/11/01;1093
São Paulo;2016/11/01;23416
Tocantins;2016/11/01;335
Acre;2016/12/01;300
Alagoas;2016/12/01;940
Amapá;2016/12/01;192
Amazonas;2016/12/01;491
Bahia;2016/12/01;4730
Ceará;2016/12/01;2662
Distrito Federal;2016/12/01;1209
Espírito Santo;2016/12/01;1950
Goiás;2016/12/01;2374
Maranhão;2016/12/01;561
Mato Grosso;2016/12/01;1306
Mato Grosso do Sul;2016/12/01;1151
Minas Gerais;2016/12/01;10490
Paraná;2016/12/01;5603
Paraíba;2016/12/01;1643
Pará;2016/12/01;518
Pernambuco;2016/12/01;4616
Piauí;2016/12/01;594
Rio Grande do Norte;2016/12/01;716
Rio Grande do Sul;2016/12/01;5375
Rio de Janeiro;2016/12/01;4329
Rondônia;2016/12/01;652
Roraima;2016/12/01;139
Santa Catarina;2016/12/01;2705
Sergipe;2016/12/01;1064
São Paulo;2016/12/01;23660
Tocantins;2016/12/01;336
Acre;2017/01/01;314
Alagoas;2017/01/01;1133
Amapá;2017/01/01;207
Amazonas;2017/01/01;231
Bahia;2017/01/01;5033
Ceará;2017/01/01;2853
Distrito Federal;2017/01/01;1201
Espírito Santo;2017/01/01;2015
Goiás;2017/01/01;2685
Maranhão;2017/01/01;596
Mato Grosso;2017/01/01;1399
Mato Grosso do Sul;2017/01/01;1215
Minas Gerais;2017/01/01;11404
Paraná;2017/01/01;6030
Paraíba;2017/01/01;1931
Pará;2017/01/01;973
Pernambuco;2017/01/01;4636
Piauí;2017/01/01;424
Rio Grande do Norte;2017/01/01;864
Rio Grande do Sul;2017/01/01;5080
Rio de Janeiro;2017/01/01;5291
Rondônia;2017/01/01;634
Roraima;2017/01/01;157
Santa Catarina;2017/01/01;2997
Sergipe;2017/01/01;1007
São Paulo;2017/01/01;23906
Tocantins;2017/01/01;396
Acre;2017/02/01;331
Alagoas;2017/02/01;790
Amapá;2017/02/01;170
Amazonas;2017/02/01;195
Bahia;2017/02/01;3477
Ceará;2017/02/01;2704
Distrito Federal;2017/02/01;1049
Espírito Santo;2017/02/01;1752
Goiás;2017/02/01;2129
Maranhão;2017/02/01;446
Mato Grosso;2017/02/01;1125
Mato Grosso do Sul;2017/02/01;1085
Minas Gerais;2017/02/01;8876
Paraná;2017/02/01;4790
Paraíba;2017/02/01;1552
Pará;2017/02/01;808
Pernambuco;2017/02/01;3993
Piauí;2017/02/01;410
Rio Grande do Norte;2017/02/01;690
Rio Grande do Sul;2017/02/01;4214
Rio de Janeiro;2017/02/01;3997
Rondônia;2017/02/01;362
Roraima;2017/02/01;108
Santa Catarina;2017/02/01;2469
Sergipe;2017/02/01;822
São Paulo;2017/02/01;20189
Tocantins;2017/02/01;347
Acre;2017/03/01;380
Alagoas;2017/03/01;1167
Amapá;2017/03/01;240
Amazonas;2017/03/01;511
Bahia;2017/03/01;5318
Ceará;2017/03/01;3732
Distrito Federal;2017/03/01;1237
Espírito Santo;2017/03/01;2079
Goiás;2017/03/01;2741
Maranhão;2017/03/01;586
Mato Grosso;2017/03/01;1481
Mato Grosso do Sul;2017/03/01;1342
Minas Gerais;2017/03/01;11513
Paraná;2017/03/01;6241
Paraíba;2017/03/01;2156
Pará;2017/03/01;1152
Pernambuco;2017/03/01;5078
Piauí;2017/03/01;507
Rio Grande do Norte;2017/03/01;1045
Rio Grande do Sul;2017/03/01;5327
Rio de Janeiro;2017/03/01;4317
Rondônia;2017/03/01;643
Roraima;2017/03/01;144
Santa Catarina;2017/03/01;3261
Sergipe;2017/03/01;1135
São Paulo;2017/03/01;26857
Tocantins;2017/03/01;482
Acre;2017/04/01;299
Alagoas;2017/04/01;943
Amapá;2017/04/01;149
Amazonas;2017/04/01;235
Bahia;2017/04/01;4539
Ceará;2017/04/01;3473
Distrito Federal;2017/04/01;1250
Espírito Santo;2017/04/01;1935
Goiás;2017/04/01;2690
Maranhão;2017/04/01;526
Mato Grosso;2017/04/01;1297
Mato Grosso do Sul;2017/04/01;1200
Minas Gerais;2017/04/01;10131
Paraná;2017/04/01;5538
Paraíba;2017/04/01;1781
Pará;2017/04/01;980
Pernambuco;2017/04/01;4726
Piauí;2017/04/01;483
Rio Grande do Norte;2017/04/01;1087
Rio Grande do Sul;2017/04/01;5448
Rio de Janeiro;2017/04/01;4921
Rondônia;2017/04/01;707
Roraima;2017/04/01;136
Santa Catarina;2017/04/01;2619
Sergipe;2017/04/01;930
São Paulo;2017/04/01;22033
Tocantins;2017/04/01;450
Acre;2017/05/01;368
Alagoas;2017/05/01;1130
Amapá;2017/05/01;242
Amazonas;2017/05/01;687
Bahia;2017/05/01;5313
Ceará;2017/05/01;3661
Distrito Federal;2017/05/01;1242
Espírito Santo;2017/05/01;2128
Goiás;2017/05/01;2916
Maranhão;2017/05/01;650
Mato Grosso;2017/05/01;1452
Mato Grosso do Sul;2017/05/01;1345
Minas Gerais;2017/05/01;12364
Paraná;2017/05/01;6830
